,gen_loss,real_acc,fake_acc,fake_loss,real_loss
23,"tf.Tensor(1.8090526, shape=(), dtype=float32)","tf.Tensor(89.063, shape=(), dtype=float32)","tf.Tensor(94.9975, shape=(), dtype=float32)","tf.Tensor(0.2589768, shape=(), dtype=float32)","tf.Tensor(0.2908399, shape=(), dtype=float32)"
24,"tf.Tensor(1.7307973, shape=(), dtype=float32)","tf.Tensor(88.208, shape=(), dtype=float32)","tf.Tensor(94.109, shape=(), dtype=float32)","tf.Tensor(0.27823555, shape=(), dtype=float32)","tf.Tensor(0.3124212, shape=(), dtype=float32)"
25,"tf.Tensor(1.7946014, shape=(), dtype=float32)","tf.Tensor(88.0205, shape=(), dtype=float32)","tf.Tensor(93.333, shape=(), dtype=float32)","tf.Tensor(0.27504474, shape=(), dtype=float32)","tf.Tensor(0.30881444, shape=(), dtype=float32)"
26,"tf.Tensor(1.9546542, shape=(), dtype=float32)","tf.Tensor(89.766, shape=(), dtype=float32)","tf.Tensor(95.2775, shape=(), dtype=float32)","tf.Tensor(0.23736125, shape=(), dtype=float32)","tf.Tensor(0.27092823, shape=(), dtype=float32)"
27,"tf.Tensor(1.9005142, shape=(), dtype=float32)","tf.Tensor(88.603, shape=(), dtype=float32)","tf.Tensor(93.512, shape=(), dtype=float32)","tf.Tensor(0.26126483, shape=(), dtype=float32)","tf.Tensor(0.29199886, shape=(), dtype=float32)"
28,"tf.Tensor(1.7343746, shape=(), dtype=float32)","tf.Tensor(86.2215, shape=(), dtype=float32)","tf.Tensor(91.856, shape=(), dtype=float32)","tf.Tensor(0.2985867, shape=(), dtype=float32)","tf.Tensor(0.33106184, shape=(), dtype=float32)"
29,"tf.Tensor(1.6986305, shape=(), dtype=float32)","tf.Tensor(87.6055, shape=(), dtype=float32)","tf.Tensor(93.7465, shape=(), dtype=float32)","tf.Tensor(0.2880433, shape=(), dtype=float32)","tf.Tensor(0.32280344, shape=(), dtype=float32)"
30,"tf.Tensor(1.945014, shape=(), dtype=float32)","tf.Tensor(91.624, shape=(), dtype=float32)","tf.Tensor(96.734, shape=(), dtype=float32)","tf.Tensor(0.22216019, shape=(), dtype=float32)","tf.Tensor(0.24808104, shape=(), dtype=float32)"
31,"tf.Tensor(1.9281559, shape=(), dtype=float32)","tf.Tensor(89.598, shape=(), dtype=float32)","tf.Tensor(95.312, shape=(), dtype=float32)","tf.Tensor(0.23835653, shape=(), dtype=float32)","tf.Tensor(0.27732486, shape=(), dtype=float32)"
32,"tf.Tensor(1.7724699, shape=(), dtype=float32)","tf.Tensor(88.258, shape=(), dtype=float32)","tf.Tensor(94.8965, shape=(), dtype=float32)","tf.Tensor(0.26595783, shape=(), dtype=float32)","tf.Tensor(0.30410352, shape=(), dtype=float32)"
33,"tf.Tensor(1.766939, shape=(), dtype=float32)","tf.Tensor(87.811, shape=(), dtype=float32)","tf.Tensor(93.832, shape=(), dtype=float32)","tf.Tensor(0.27561772, shape=(), dtype=float32)","tf.Tensor(0.31039375, shape=(), dtype=float32)"
34,"tf.Tensor(1.660974, shape=(), dtype=float32)","tf.Tensor(85.669, shape=(), dtype=float32)","tf.Tensor(92.0355, shape=(), dtype=float32)","tf.Tensor(0.30766776, shape=(), dtype=float32)","tf.Tensor(0.34584412, shape=(), dtype=float32)"
35,"tf.Tensor(1.7514883, shape=(), dtype=float32)","tf.Tensor(85.7675, shape=(), dtype=float32)","tf.Tensor(92.9635, shape=(), dtype=float32)","tf.Tensor(0.28949848, shape=(), dtype=float32)","tf.Tensor(0.33704385, shape=(), dtype=float32)"
36,"tf.Tensor(1.7897741, shape=(), dtype=float32)","tf.Tensor(88.693, shape=(), dtype=float32)","tf.Tensor(95.155, shape=(), dtype=float32)","tf.Tensor(0.2615861, shape=(), dtype=float32)","tf.Tensor(0.29651156, shape=(), dtype=float32)"
37,"tf.Tensor(1.7255049, shape=(), dtype=float32)","tf.Tensor(88.5895, shape=(), dtype=float32)","tf.Tensor(94.6115, shape=(), dtype=float32)","tf.Tensor(0.27300772, shape=(), dtype=float32)","tf.Tensor(0.30634475, shape=(), dtype=float32)"
38,"tf.Tensor(1.7950021, shape=(), dtype=float32)","tf.Tensor(85.5435, shape=(), dtype=float32)","tf.Tensor(90.5305, shape=(), dtype=float32)","tf.Tensor(0.30159646, shape=(), dtype=float32)","tf.Tensor(0.3404888, shape=(), dtype=float32)"
39,"tf.Tensor(1.6928103, shape=(), dtype=float32)","tf.Tensor(86.7535, shape=(), dtype=float32)","tf.Tensor(93.995, shape=(), dtype=float32)","tf.Tensor(0.28641683, shape=(), dtype=float32)","tf.Tensor(0.33063343, shape=(), dtype=float32)"
40,"tf.Tensor(1.7918202, shape=(), dtype=float32)","tf.Tensor(87.504, shape=(), dtype=float32)","tf.Tensor(93.604, shape=(), dtype=float32)","tf.Tensor(0.2723485, shape=(), dtype=float32)","tf.Tensor(0.31187004, shape=(), dtype=float32)"
41,"tf.Tensor(1.6852527, shape=(), dtype=float32)","tf.Tensor(85.302, shape=(), dtype=float32)","tf.Tensor(91.974, shape=(), dtype=float32)","tf.Tensor(0.30435783, shape=(), dtype=float32)","tf.Tensor(0.3476848, shape=(), dtype=float32)"
