,gen_loss,real_acc,fake_acc,fake_loss,real_loss
100,"tf.Tensor(1.3534772, shape=(), dtype=float32)","tf.Tensor(79.4465, shape=(), dtype=float32)","tf.Tensor(83.1385, shape=(), dtype=float32)","tf.Tensor(0.42490408, shape=(), dtype=float32)","tf.Tensor(0.4509336, shape=(), dtype=float32)"
101,"tf.Tensor(1.2664437, shape=(), dtype=float32)","tf.Tensor(77.43, shape=(), dtype=float32)","tf.Tensor(81.913, shape=(), dtype=float32)","tf.Tensor(0.45070583, shape=(), dtype=float32)","tf.Tensor(0.47631758, shape=(), dtype=float32)"
102,"tf.Tensor(1.3568978, shape=(), dtype=float32)","tf.Tensor(80.089, shape=(), dtype=float32)","tf.Tensor(85.1595, shape=(), dtype=float32)","tf.Tensor(0.41058943, shape=(), dtype=float32)","tf.Tensor(0.43784124, shape=(), dtype=float32)"
103,"tf.Tensor(1.4660058, shape=(), dtype=float32)","tf.Tensor(82.4575, shape=(), dtype=float32)","tf.Tensor(87.5435, shape=(), dtype=float32)","tf.Tensor(0.37328556, shape=(), dtype=float32)","tf.Tensor(0.4040108, shape=(), dtype=float32)"
104,"tf.Tensor(1.4273236, shape=(), dtype=float32)","tf.Tensor(81.207, shape=(), dtype=float32)","tf.Tensor(85.3945, shape=(), dtype=float32)","tf.Tensor(0.39414537, shape=(), dtype=float32)","tf.Tensor(0.42389545, shape=(), dtype=float32)"
105,"tf.Tensor(1.3103864, shape=(), dtype=float32)","tf.Tensor(78.0045, shape=(), dtype=float32)","tf.Tensor(82.9005, shape=(), dtype=float32)","tf.Tensor(0.43082324, shape=(), dtype=float32)","tf.Tensor(0.4654902, shape=(), dtype=float32)"
106,"tf.Tensor(1.3654348, shape=(), dtype=float32)","tf.Tensor(79.9975, shape=(), dtype=float32)","tf.Tensor(85.1135, shape=(), dtype=float32)","tf.Tensor(0.41176656, shape=(), dtype=float32)","tf.Tensor(0.44487008, shape=(), dtype=float32)"
107,"tf.Tensor(1.2925857, shape=(), dtype=float32)","tf.Tensor(79.425, shape=(), dtype=float32)","tf.Tensor(84.4075, shape=(), dtype=float32)","tf.Tensor(0.4314353, shape=(), dtype=float32)","tf.Tensor(0.45557567, shape=(), dtype=float32)"
108,"tf.Tensor(1.3927156, shape=(), dtype=float32)","tf.Tensor(82.232, shape=(), dtype=float32)","tf.Tensor(86.2115, shape=(), dtype=float32)","tf.Tensor(0.395532, shape=(), dtype=float32)","tf.Tensor(0.41875696, shape=(), dtype=float32)"
109,"tf.Tensor(1.3334277, shape=(), dtype=float32)","tf.Tensor(77.3125, shape=(), dtype=float32)","tf.Tensor(82.4715, shape=(), dtype=float32)","tf.Tensor(0.43892452, shape=(), dtype=float32)","tf.Tensor(0.48036602, shape=(), dtype=float32)"
110,"tf.Tensor(1.1965607, shape=(), dtype=float32)","tf.Tensor(75.8395, shape=(), dtype=float32)","tf.Tensor(80.826, shape=(), dtype=float32)","tf.Tensor(0.47036627, shape=(), dtype=float32)","tf.Tensor(0.5012642, shape=(), dtype=float32)"
111,"tf.Tensor(1.3672956, shape=(), dtype=float32)","tf.Tensor(78.5945, shape=(), dtype=float32)","tf.Tensor(83.9885, shape=(), dtype=float32)","tf.Tensor(0.41848, shape=(), dtype=float32)","tf.Tensor(0.4575529, shape=(), dtype=float32)"
112,"tf.Tensor(1.2597089, shape=(), dtype=float32)","tf.Tensor(76.5765, shape=(), dtype=float32)","tf.Tensor(81.0315, shape=(), dtype=float32)","tf.Tensor(0.45805752, shape=(), dtype=float32)","tf.Tensor(0.4904857, shape=(), dtype=float32)"
113,"tf.Tensor(1.2606612, shape=(), dtype=float32)","tf.Tensor(77.674, shape=(), dtype=float32)","tf.Tensor(82.2665, shape=(), dtype=float32)","tf.Tensor(0.44635966, shape=(), dtype=float32)","tf.Tensor(0.47812238, shape=(), dtype=float32)"
114,"tf.Tensor(1.273473, shape=(), dtype=float32)","tf.Tensor(76.592, shape=(), dtype=float32)","tf.Tensor(81.8275, shape=(), dtype=float32)","tf.Tensor(0.44588006, shape=(), dtype=float32)","tf.Tensor(0.48276, shape=(), dtype=float32)"
115,"tf.Tensor(1.1727016, shape=(), dtype=float32)","tf.Tensor(73.6775, shape=(), dtype=float32)","tf.Tensor(78.684, shape=(), dtype=float32)","tf.Tensor(0.49280438, shape=(), dtype=float32)","tf.Tensor(0.5271176, shape=(), dtype=float32)"
116,"tf.Tensor(1.1981418, shape=(), dtype=float32)","tf.Tensor(76.882, shape=(), dtype=float32)","tf.Tensor(81.3195, shape=(), dtype=float32)","tf.Tensor(0.46561828, shape=(), dtype=float32)","tf.Tensor(0.49168488, shape=(), dtype=float32)"
117,"tf.Tensor(1.139962, shape=(), dtype=float32)","tf.Tensor(72.5185, shape=(), dtype=float32)","tf.Tensor(76.8065, shape=(), dtype=float32)","tf.Tensor(0.50366604, shape=(), dtype=float32)","tf.Tensor(0.5428102, shape=(), dtype=float32)"
118,"tf.Tensor(1.2677997, shape=(), dtype=float32)","tf.Tensor(78.173, shape=(), dtype=float32)","tf.Tensor(83.476, shape=(), dtype=float32)","tf.Tensor(0.4403437, shape=(), dtype=float32)","tf.Tensor(0.47190428, shape=(), dtype=float32)"
119,"tf.Tensor(1.3013304, shape=(), dtype=float32)","tf.Tensor(77.7965, shape=(), dtype=float32)","tf.Tensor(81.624, shape=(), dtype=float32)","tf.Tensor(0.44771096, shape=(), dtype=float32)","tf.Tensor(0.47847322, shape=(), dtype=float32)"
120,"tf.Tensor(1.2170657, shape=(), dtype=float32)","tf.Tensor(76.779, shape=(), dtype=float32)","tf.Tensor(79.7795, shape=(), dtype=float32)","tf.Tensor(0.47487986, shape=(), dtype=float32)","tf.Tensor(0.4979765, shape=(), dtype=float32)"
121,"tf.Tensor(1.3126993, shape=(), dtype=float32)","tf.Tensor(79.9625, shape=(), dtype=float32)","tf.Tensor(84.504, shape=(), dtype=float32)","tf.Tensor(0.42540902, shape=(), dtype=float32)","tf.Tensor(0.4521556, shape=(), dtype=float32)"
122,"tf.Tensor(1.2566345, shape=(), dtype=float32)","tf.Tensor(77.9305, shape=(), dtype=float32)","tf.Tensor(81.1645, shape=(), dtype=float32)","tf.Tensor(0.45971218, shape=(), dtype=float32)","tf.Tensor(0.480258, shape=(), dtype=float32)"
123,"tf.Tensor(1.3964765, shape=(), dtype=float32)","tf.Tensor(81.1975, shape=(), dtype=float32)","tf.Tensor(84.5455, shape=(), dtype=float32)","tf.Tensor(0.4088448, shape=(), dtype=float32)","tf.Tensor(0.43172497, shape=(), dtype=float32)"
124,"tf.Tensor(1.2623414, shape=(), dtype=float32)","tf.Tensor(76.393, shape=(), dtype=float32)","tf.Tensor(80.519, shape=(), dtype=float32)","tf.Tensor(0.46226782, shape=(), dtype=float32)","tf.Tensor(0.4948401, shape=(), dtype=float32)"
125,"tf.Tensor(1.2536771, shape=(), dtype=float32)","tf.Tensor(77.7385, shape=(), dtype=float32)","tf.Tensor(81.613, shape=(), dtype=float32)","tf.Tensor(0.45723632, shape=(), dtype=float32)","tf.Tensor(0.48258734, shape=(), dtype=float32)"
126,"tf.Tensor(1.3201916, shape=(), dtype=float32)","tf.Tensor(77.226, shape=(), dtype=float32)","tf.Tensor(79.6575, shape=(), dtype=float32)","tf.Tensor(0.44991434, shape=(), dtype=float32)","tf.Tensor(0.47587147, shape=(), dtype=float32)"
127,"tf.Tensor(1.2795644, shape=(), dtype=float32)","tf.Tensor(77.79, shape=(), dtype=float32)","tf.Tensor(80.639, shape=(), dtype=float32)","tf.Tensor(0.45857456, shape=(), dtype=float32)","tf.Tensor(0.47628894, shape=(), dtype=float32)"
128,"tf.Tensor(1.4843853, shape=(), dtype=float32)","tf.Tensor(82.4965, shape=(), dtype=float32)","tf.Tensor(85.6895, shape=(), dtype=float32)","tf.Tensor(0.38618937, shape=(), dtype=float32)","tf.Tensor(0.40915912, shape=(), dtype=float32)"
129,"tf.Tensor(1.3725444, shape=(), dtype=float32)","tf.Tensor(78.0335, shape=(), dtype=float32)","tf.Tensor(82.538, shape=(), dtype=float32)","tf.Tensor(0.4285585, shape=(), dtype=float32)","tf.Tensor(0.46627662, shape=(), dtype=float32)"
130,"tf.Tensor(1.1624811, shape=(), dtype=float32)","tf.Tensor(71.3895, shape=(), dtype=float32)","tf.Tensor(75.651, shape=(), dtype=float32)","tf.Tensor(0.5154474, shape=(), dtype=float32)","tf.Tensor(0.5582012, shape=(), dtype=float32)"
131,"tf.Tensor(1.2207154, shape=(), dtype=float32)","tf.Tensor(76.7755, shape=(), dtype=float32)","tf.Tensor(81.0455, shape=(), dtype=float32)","tf.Tensor(0.45992318, shape=(), dtype=float32)","tf.Tensor(0.48792616, shape=(), dtype=float32)"
132,"tf.Tensor(1.1883259, shape=(), dtype=float32)","tf.Tensor(76.2385, shape=(), dtype=float32)","tf.Tensor(80.5945, shape=(), dtype=float32)","tf.Tensor(0.4680357, shape=(), dtype=float32)","tf.Tensor(0.49332678, shape=(), dtype=float32)"
133,"tf.Tensor(1.1192373, shape=(), dtype=float32)","tf.Tensor(74.141, shape=(), dtype=float32)","tf.Tensor(78.167, shape=(), dtype=float32)","tf.Tensor(0.50264126, shape=(), dtype=float32)","tf.Tensor(0.530108, shape=(), dtype=float32)"
134,"tf.Tensor(1.3146222, shape=(), dtype=float32)","tf.Tensor(79.6065, shape=(), dtype=float32)","tf.Tensor(83.305, shape=(), dtype=float32)","tf.Tensor(0.43055183, shape=(), dtype=float32)","tf.Tensor(0.4540778, shape=(), dtype=float32)"
135,"tf.Tensor(1.2722849, shape=(), dtype=float32)","tf.Tensor(77.6805, shape=(), dtype=float32)","tf.Tensor(82.2155, shape=(), dtype=float32)","tf.Tensor(0.446004, shape=(), dtype=float32)","tf.Tensor(0.47675666, shape=(), dtype=float32)"
136,"tf.Tensor(1.2785491, shape=(), dtype=float32)","tf.Tensor(77.731, shape=(), dtype=float32)","tf.Tensor(81.793, shape=(), dtype=float32)","tf.Tensor(0.44738817, shape=(), dtype=float32)","tf.Tensor(0.4779438, shape=(), dtype=float32)"
137,"tf.Tensor(1.1746821, shape=(), dtype=float32)","tf.Tensor(76.7655, shape=(), dtype=float32)","tf.Tensor(82.7785, shape=(), dtype=float32)","tf.Tensor(0.46277404, shape=(), dtype=float32)","tf.Tensor(0.4963129, shape=(), dtype=float32)"
138,"tf.Tensor(1.2985415, shape=(), dtype=float32)","tf.Tensor(77.037, shape=(), dtype=float32)","tf.Tensor(80.7525, shape=(), dtype=float32)","tf.Tensor(0.45089883, shape=(), dtype=float32)","tf.Tensor(0.48345634, shape=(), dtype=float32)"
139,"tf.Tensor(1.3779813, shape=(), dtype=float32)","tf.Tensor(82.3895, shape=(), dtype=float32)","tf.Tensor(86.565, shape=(), dtype=float32)","tf.Tensor(0.39539155, shape=(), dtype=float32)","tf.Tensor(0.4184598, shape=(), dtype=float32)"
140,"tf.Tensor(1.3083801, shape=(), dtype=float32)","tf.Tensor(78.816, shape=(), dtype=float32)","tf.Tensor(84.3335, shape=(), dtype=float32)","tf.Tensor(0.42911285, shape=(), dtype=float32)","tf.Tensor(0.46466452, shape=(), dtype=float32)"
141,"tf.Tensor(1.1597179, shape=(), dtype=float32)","tf.Tensor(72.542, shape=(), dtype=float32)","tf.Tensor(76.57, shape=(), dtype=float32)","tf.Tensor(0.5069338, shape=(), dtype=float32)","tf.Tensor(0.54299897, shape=(), dtype=float32)"
142,"tf.Tensor(1.0943114, shape=(), dtype=float32)","tf.Tensor(72.624, shape=(), dtype=float32)","tf.Tensor(77.527, shape=(), dtype=float32)","tf.Tensor(0.5099224, shape=(), dtype=float32)","tf.Tensor(0.5425679, shape=(), dtype=float32)"
143,"tf.Tensor(1.1245778, shape=(), dtype=float32)","tf.Tensor(73.173, shape=(), dtype=float32)","tf.Tensor(77.3605, shape=(), dtype=float32)","tf.Tensor(0.5099355, shape=(), dtype=float32)","tf.Tensor(0.5408019, shape=(), dtype=float32)"
144,"tf.Tensor(1.0996392, shape=(), dtype=float32)","tf.Tensor(71.617, shape=(), dtype=float32)","tf.Tensor(75.624, shape=(), dtype=float32)","tf.Tensor(0.52148354, shape=(), dtype=float32)","tf.Tensor(0.5510218, shape=(), dtype=float32)"
145,"tf.Tensor(1.1432244, shape=(), dtype=float32)","tf.Tensor(75.4615, shape=(), dtype=float32)","tf.Tensor(80.0165, shape=(), dtype=float32)","tf.Tensor(0.48667243, shape=(), dtype=float32)","tf.Tensor(0.51069915, shape=(), dtype=float32)"
146,"tf.Tensor(1.1118788, shape=(), dtype=float32)","tf.Tensor(72.853, shape=(), dtype=float32)","tf.Tensor(77.456, shape=(), dtype=float32)","tf.Tensor(0.5092352, shape=(), dtype=float32)","tf.Tensor(0.5389484, shape=(), dtype=float32)"
147,"tf.Tensor(1.1189933, shape=(), dtype=float32)","tf.Tensor(72.4835, shape=(), dtype=float32)","tf.Tensor(74.708, shape=(), dtype=float32)","tf.Tensor(0.5236693, shape=(), dtype=float32)","tf.Tensor(0.5454279, shape=(), dtype=float32)"
148,"tf.Tensor(1.2281408, shape=(), dtype=float32)","tf.Tensor(74.7415, shape=(), dtype=float32)","tf.Tensor(79.99, shape=(), dtype=float32)","tf.Tensor(0.47169268, shape=(), dtype=float32)","tf.Tensor(0.5137404, shape=(), dtype=float32)"
149,"tf.Tensor(1.302397, shape=(), dtype=float32)","tf.Tensor(78.188, shape=(), dtype=float32)","tf.Tensor(83.3265, shape=(), dtype=float32)","tf.Tensor(0.43288216, shape=(), dtype=float32)","tf.Tensor(0.46812707, shape=(), dtype=float32)"
150,"tf.Tensor(1.1318449, shape=(), dtype=float32)","tf.Tensor(75.605, shape=(), dtype=float32)","tf.Tensor(79.7255, shape=(), dtype=float32)","tf.Tensor(0.48687428, shape=(), dtype=float32)","tf.Tensor(0.5092364, shape=(), dtype=float32)"
151,"tf.Tensor(1.193936, shape=(), dtype=float32)","tf.Tensor(79.1785, shape=(), dtype=float32)","tf.Tensor(84.051, shape=(), dtype=float32)","tf.Tensor(0.45047238, shape=(), dtype=float32)","tf.Tensor(0.4705862, shape=(), dtype=float32)"
152,"tf.Tensor(1.4300046, shape=(), dtype=float32)","tf.Tensor(81.814, shape=(), dtype=float32)","tf.Tensor(87.1055, shape=(), dtype=float32)","tf.Tensor(0.38580838, shape=(), dtype=float32)","tf.Tensor(0.4151846, shape=(), dtype=float32)"
153,"tf.Tensor(1.2597761, shape=(), dtype=float32)","tf.Tensor(74.824, shape=(), dtype=float32)","tf.Tensor(78.4475, shape=(), dtype=float32)","tf.Tensor(0.47871894, shape=(), dtype=float32)","tf.Tensor(0.5149723, shape=(), dtype=float32)"
154,"tf.Tensor(1.1846892, shape=(), dtype=float32)","tf.Tensor(76.284, shape=(), dtype=float32)","tf.Tensor(79.7295, shape=(), dtype=float32)","tf.Tensor(0.4774286, shape=(), dtype=float32)","tf.Tensor(0.49942288, shape=(), dtype=float32)"
155,"tf.Tensor(1.2144067, shape=(), dtype=float32)","tf.Tensor(76.204, shape=(), dtype=float32)","tf.Tensor(80.9725, shape=(), dtype=float32)","tf.Tensor(0.46389118, shape=(), dtype=float32)","tf.Tensor(0.49387497, shape=(), dtype=float32)"
156,"tf.Tensor(1.210149, shape=(), dtype=float32)","tf.Tensor(77.75, shape=(), dtype=float32)","tf.Tensor(81.4015, shape=(), dtype=float32)","tf.Tensor(0.46510747, shape=(), dtype=float32)","tf.Tensor(0.48617887, shape=(), dtype=float32)"
157,"tf.Tensor(1.2042193, shape=(), dtype=float32)","tf.Tensor(73.5765, shape=(), dtype=float32)","tf.Tensor(77.2965, shape=(), dtype=float32)","tf.Tensor(0.4923056, shape=(), dtype=float32)","tf.Tensor(0.52926725, shape=(), dtype=float32)"
158,"tf.Tensor(1.1890837, shape=(), dtype=float32)","tf.Tensor(76.2395, shape=(), dtype=float32)","tf.Tensor(80.629, shape=(), dtype=float32)","tf.Tensor(0.4734992, shape=(), dtype=float32)","tf.Tensor(0.50125706, shape=(), dtype=float32)"
159,"tf.Tensor(1.1968048, shape=(), dtype=float32)","tf.Tensor(77.2295, shape=(), dtype=float32)","tf.Tensor(80.686, shape=(), dtype=float32)","tf.Tensor(0.46960482, shape=(), dtype=float32)","tf.Tensor(0.4897486, shape=(), dtype=float32)"
160,"tf.Tensor(1.3410355, shape=(), dtype=float32)","tf.Tensor(79.9515, shape=(), dtype=float32)","tf.Tensor(84.123, shape=(), dtype=float32)","tf.Tensor(0.42201412, shape=(), dtype=float32)","tf.Tensor(0.45488784, shape=(), dtype=float32)"
161,"tf.Tensor(1.2237997, shape=(), dtype=float32)","tf.Tensor(76.6605, shape=(), dtype=float32)","tf.Tensor(81.2635, shape=(), dtype=float32)","tf.Tensor(0.46312207, shape=(), dtype=float32)","tf.Tensor(0.4976822, shape=(), dtype=float32)"
162,"tf.Tensor(1.3211923, shape=(), dtype=float32)","tf.Tensor(77.3535, shape=(), dtype=float32)","tf.Tensor(82.7705, shape=(), dtype=float32)","tf.Tensor(0.44286525, shape=(), dtype=float32)","tf.Tensor(0.48241678, shape=(), dtype=float32)"
163,"tf.Tensor(1.2265356, shape=(), dtype=float32)","tf.Tensor(76.829, shape=(), dtype=float32)","tf.Tensor(81.6345, shape=(), dtype=float32)","tf.Tensor(0.46071583, shape=(), dtype=float32)","tf.Tensor(0.49344406, shape=(), dtype=float32)"
164,"tf.Tensor(1.2877785, shape=(), dtype=float32)","tf.Tensor(77.63, shape=(), dtype=float32)","tf.Tensor(81.6265, shape=(), dtype=float32)","tf.Tensor(0.44479904, shape=(), dtype=float32)","tf.Tensor(0.4757687, shape=(), dtype=float32)"
165,"tf.Tensor(1.1290134, shape=(), dtype=float32)","tf.Tensor(71.215, shape=(), dtype=float32)","tf.Tensor(75.2325, shape=(), dtype=float32)","tf.Tensor(0.5268019, shape=(), dtype=float32)","tf.Tensor(0.56253374, shape=(), dtype=float32)"
166,"tf.Tensor(1.0774682, shape=(), dtype=float32)","tf.Tensor(72.187, shape=(), dtype=float32)","tf.Tensor(77.193, shape=(), dtype=float32)","tf.Tensor(0.51531863, shape=(), dtype=float32)","tf.Tensor(0.54877007, shape=(), dtype=float32)"
167,"tf.Tensor(1.2631136, shape=(), dtype=float32)","tf.Tensor(75.439, shape=(), dtype=float32)","tf.Tensor(80.4215, shape=(), dtype=float32)","tf.Tensor(0.458072, shape=(), dtype=float32)","tf.Tensor(0.50434935, shape=(), dtype=float32)"
168,"tf.Tensor(1.3619107, shape=(), dtype=float32)","tf.Tensor(78.935, shape=(), dtype=float32)","tf.Tensor(85.062, shape=(), dtype=float32)","tf.Tensor(0.41091952, shape=(), dtype=float32)","tf.Tensor(0.46040115, shape=(), dtype=float32)"
169,"tf.Tensor(1.186346, shape=(), dtype=float32)","tf.Tensor(74.745, shape=(), dtype=float32)","tf.Tensor(79.3255, shape=(), dtype=float32)","tf.Tensor(0.47943866, shape=(), dtype=float32)","tf.Tensor(0.51662636, shape=(), dtype=float32)"
170,"tf.Tensor(1.1985422, shape=(), dtype=float32)","tf.Tensor(77.2575, shape=(), dtype=float32)","tf.Tensor(82.864, shape=(), dtype=float32)","tf.Tensor(0.45670444, shape=(), dtype=float32)","tf.Tensor(0.48721334, shape=(), dtype=float32)"
171,"tf.Tensor(1.3374854, shape=(), dtype=float32)","tf.Tensor(80.121, shape=(), dtype=float32)","tf.Tensor(84.5355, shape=(), dtype=float32)","tf.Tensor(0.4216965, shape=(), dtype=float32)","tf.Tensor(0.44455045, shape=(), dtype=float32)"
172,"tf.Tensor(1.2619598, shape=(), dtype=float32)","tf.Tensor(76.002, shape=(), dtype=float32)","tf.Tensor(80.885, shape=(), dtype=float32)","tf.Tensor(0.4540197, shape=(), dtype=float32)","tf.Tensor(0.49605063, shape=(), dtype=float32)"
173,"tf.Tensor(1.2007557, shape=(), dtype=float32)","tf.Tensor(74.9755, shape=(), dtype=float32)","tf.Tensor(80.187, shape=(), dtype=float32)","tf.Tensor(0.47619513, shape=(), dtype=float32)","tf.Tensor(0.5181873, shape=(), dtype=float32)"
174,"tf.Tensor(1.1500669, shape=(), dtype=float32)","tf.Tensor(74.1675, shape=(), dtype=float32)","tf.Tensor(77.451, shape=(), dtype=float32)","tf.Tensor(0.49986735, shape=(), dtype=float32)","tf.Tensor(0.5282441, shape=(), dtype=float32)"
175,"tf.Tensor(1.1256663, shape=(), dtype=float32)","tf.Tensor(73.0615, shape=(), dtype=float32)","tf.Tensor(76.036, shape=(), dtype=float32)","tf.Tensor(0.51445824, shape=(), dtype=float32)","tf.Tensor(0.5411702, shape=(), dtype=float32)"
176,"tf.Tensor(1.3485857, shape=(), dtype=float32)","tf.Tensor(79.7795, shape=(), dtype=float32)","tf.Tensor(85.223, shape=(), dtype=float32)","tf.Tensor(0.41436085, shape=(), dtype=float32)","tf.Tensor(0.44871598, shape=(), dtype=float32)"
177,"tf.Tensor(1.2306695, shape=(), dtype=float32)","tf.Tensor(75.5845, shape=(), dtype=float32)","tf.Tensor(80.8005, shape=(), dtype=float32)","tf.Tensor(0.46966627, shape=(), dtype=float32)","tf.Tensor(0.50616175, shape=(), dtype=float32)"
178,"tf.Tensor(1.1030493, shape=(), dtype=float32)","tf.Tensor(69.6095, shape=(), dtype=float32)","tf.Tensor(72.9745, shape=(), dtype=float32)","tf.Tensor(0.539385, shape=(), dtype=float32)","tf.Tensor(0.5801089, shape=(), dtype=float32)"
179,"tf.Tensor(1.2471389, shape=(), dtype=float32)","tf.Tensor(78.528, shape=(), dtype=float32)","tf.Tensor(84.92, shape=(), dtype=float32)","tf.Tensor(0.43438044, shape=(), dtype=float32)","tf.Tensor(0.46976498, shape=(), dtype=float32)"
180,"tf.Tensor(1.3446127, shape=(), dtype=float32)","tf.Tensor(78.8435, shape=(), dtype=float32)","tf.Tensor(83.9725, shape=(), dtype=float32)","tf.Tensor(0.41969344, shape=(), dtype=float32)","tf.Tensor(0.45859936, shape=(), dtype=float32)"
181,"tf.Tensor(1.312625, shape=(), dtype=float32)","tf.Tensor(78.462, shape=(), dtype=float32)","tf.Tensor(84.36, shape=(), dtype=float32)","tf.Tensor(0.41910577, shape=(), dtype=float32)","tf.Tensor(0.45846254, shape=(), dtype=float32)"
182,"tf.Tensor(1.289081, shape=(), dtype=float32)","tf.Tensor(76.6985, shape=(), dtype=float32)","tf.Tensor(82.3425, shape=(), dtype=float32)","tf.Tensor(0.44818208, shape=(), dtype=float32)","tf.Tensor(0.4901455, shape=(), dtype=float32)"
183,"tf.Tensor(1.0333699, shape=(), dtype=float32)","tf.Tensor(68.773, shape=(), dtype=float32)","tf.Tensor(72.5915, shape=(), dtype=float32)","tf.Tensor(0.55535877, shape=(), dtype=float32)","tf.Tensor(0.59173536, shape=(), dtype=float32)"
184,"tf.Tensor(1.2282239, shape=(), dtype=float32)","tf.Tensor(77.2025, shape=(), dtype=float32)","tf.Tensor(81.1515, shape=(), dtype=float32)","tf.Tensor(0.45880958, shape=(), dtype=float32)","tf.Tensor(0.48485786, shape=(), dtype=float32)"
185,"tf.Tensor(1.1068932, shape=(), dtype=float32)","tf.Tensor(71.948, shape=(), dtype=float32)","tf.Tensor(74.9745, shape=(), dtype=float32)","tf.Tensor(0.5204876, shape=(), dtype=float32)","tf.Tensor(0.5474925, shape=(), dtype=float32)"
186,"tf.Tensor(1.208594, shape=(), dtype=float32)","tf.Tensor(74.605, shape=(), dtype=float32)","tf.Tensor(77.0195, shape=(), dtype=float32)","tf.Tensor(0.49725017, shape=(), dtype=float32)","tf.Tensor(0.52656925, shape=(), dtype=float32)"
187,"tf.Tensor(1.198311, shape=(), dtype=float32)","tf.Tensor(74.972, shape=(), dtype=float32)","tf.Tensor(79.6135, shape=(), dtype=float32)","tf.Tensor(0.47759894, shape=(), dtype=float32)","tf.Tensor(0.5128122, shape=(), dtype=float32)"
188,"tf.Tensor(1.1675907, shape=(), dtype=float32)","tf.Tensor(74.421, shape=(), dtype=float32)","tf.Tensor(77.6905, shape=(), dtype=float32)","tf.Tensor(0.49796626, shape=(), dtype=float32)","tf.Tensor(0.5242107, shape=(), dtype=float32)"
189,"tf.Tensor(1.1265205, shape=(), dtype=float32)","tf.Tensor(73.693, shape=(), dtype=float32)","tf.Tensor(77.708, shape=(), dtype=float32)","tf.Tensor(0.4970068, shape=(), dtype=float32)","tf.Tensor(0.5252726, shape=(), dtype=float32)"
190,"tf.Tensor(1.2737867, shape=(), dtype=float32)","tf.Tensor(79.6725, shape=(), dtype=float32)","tf.Tensor(84.9365, shape=(), dtype=float32)","tf.Tensor(0.4272022, shape=(), dtype=float32)","tf.Tensor(0.4554377, shape=(), dtype=float32)"
191,"tf.Tensor(1.243213, shape=(), dtype=float32)","tf.Tensor(76.8575, shape=(), dtype=float32)","tf.Tensor(80.9575, shape=(), dtype=float32)","tf.Tensor(0.46010137, shape=(), dtype=float32)","tf.Tensor(0.49040297, shape=(), dtype=float32)"
192,"tf.Tensor(1.2802576, shape=(), dtype=float32)","tf.Tensor(79.202, shape=(), dtype=float32)","tf.Tensor(84.4625, shape=(), dtype=float32)","tf.Tensor(0.4307966, shape=(), dtype=float32)","tf.Tensor(0.45859852, shape=(), dtype=float32)"
193,"tf.Tensor(1.293475, shape=(), dtype=float32)","tf.Tensor(74.1, shape=(), dtype=float32)","tf.Tensor(77.8165, shape=(), dtype=float32)","tf.Tensor(0.4814464, shape=(), dtype=float32)","tf.Tensor(0.51620877, shape=(), dtype=float32)"
194,"tf.Tensor(1.1019613, shape=(), dtype=float32)","tf.Tensor(71.5635, shape=(), dtype=float32)","tf.Tensor(75.3075, shape=(), dtype=float32)","tf.Tensor(0.52613056, shape=(), dtype=float32)","tf.Tensor(0.55938655, shape=(), dtype=float32)"
195,"tf.Tensor(1.1085476, shape=(), dtype=float32)","tf.Tensor(70.066, shape=(), dtype=float32)","tf.Tensor(73.04, shape=(), dtype=float32)","tf.Tensor(0.5395256, shape=(), dtype=float32)","tf.Tensor(0.5776336, shape=(), dtype=float32)"
196,"tf.Tensor(1.1044716, shape=(), dtype=float32)","tf.Tensor(71.4515, shape=(), dtype=float32)","tf.Tensor(75.424, shape=(), dtype=float32)","tf.Tensor(0.52244914, shape=(), dtype=float32)","tf.Tensor(0.55867076, shape=(), dtype=float32)"
197,"tf.Tensor(1.1255094, shape=(), dtype=float32)","tf.Tensor(73.4105, shape=(), dtype=float32)","tf.Tensor(78.5505, shape=(), dtype=float32)","tf.Tensor(0.49837568, shape=(), dtype=float32)","tf.Tensor(0.5349643, shape=(), dtype=float32)"
198,"tf.Tensor(1.2733594, shape=(), dtype=float32)","tf.Tensor(76.1065, shape=(), dtype=float32)","tf.Tensor(81.838, shape=(), dtype=float32)","tf.Tensor(0.4496312, shape=(), dtype=float32)","tf.Tensor(0.49701774, shape=(), dtype=float32)"
199,"tf.Tensor(1.228966, shape=(), dtype=float32)","tf.Tensor(76.2675, shape=(), dtype=float32)","tf.Tensor(82.051, shape=(), dtype=float32)","tf.Tensor(0.45874906, shape=(), dtype=float32)","tf.Tensor(0.4926758, shape=(), dtype=float32)"
200,"tf.Tensor(1.1131247, shape=(), dtype=float32)","tf.Tensor(72.8995, shape=(), dtype=float32)","tf.Tensor(77.4585, shape=(), dtype=float32)","tf.Tensor(0.50626457, shape=(), dtype=float32)","tf.Tensor(0.53953326, shape=(), dtype=float32)"
201,"tf.Tensor(1.1038573, shape=(), dtype=float32)","tf.Tensor(73.547, shape=(), dtype=float32)","tf.Tensor(77.8835, shape=(), dtype=float32)","tf.Tensor(0.5050091, shape=(), dtype=float32)","tf.Tensor(0.5315697, shape=(), dtype=float32)"
